PASS
ok  	github.com/olekukonko/tablewriter	0.296s
?   	github.com/olekukonko/tablewriter/cmd/csv2table	[no test files]
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWrapString-8             	   10486	    112255 ns/op	   48490 B/op	      33 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	  128956	      9280 ns/op	    1179 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	  127818	      9284 ns/op	    1177 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	  128943	      9407 ns/op	    1179 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8    	  121558	      9206 ns/op	    1816 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8    	 1000000	      8916 ns/op	    1757 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8    	 3557302	      7315 ns/op	    1487 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8    	 3715654	       837.5 ns/op	     675 B/op	       2 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8    	 3728931	       390.8 ns/op	     591 B/op	       2 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8    	 3747295	       401.0 ns/op	     594 B/op	       2 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8     	49016853	        23.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8     	51058034	        23.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8     	51508777	        23.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8     	47585685	        23.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8     	51344036	        23.28 ns/op	       0 B/op	       0 allocs/op
