goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8           	 3766627	       344.7 ns/op	1566.63 MB/s	     583 B/op	       1 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8            	49683782	        23.45 ns/op	23024.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8            	51452091	        23.23 ns/op	23247.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8            	51498277	        23.31 ns/op	23169.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8            	51128466	        23.24 ns/op	23234.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8            	51386635	        24.08 ns/op	22425.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8            	51321620	        23.23 ns/op	23245.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8              	  127620	      9337 ns/op	  57.83 MB/s	    1178 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8              	  127231	      9295 ns/op	  58.10 MB/s	    1179 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8              	  128751	      9290 ns/op	  58.12 MB/s	    1179 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8              	  128835	      9299 ns/op	  58.07 MB/s	    1180 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8              	  129240	      9311 ns/op	  57.99 MB/s	    1179 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8              	  127897	      9293 ns/op	  58.11 MB/s	    1180 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8            	  122672	      9220 ns/op	  58.57 MB/s	    1817 B/op	       4 allocs/op
